project_index,bldg_proj_type,mat_type,mui,eci
100,New Construction,Closed cell spray polyurethane foam,0.33249965718367347,1.0473739201285714
100,New Construction,Coatings - other,0.16105893003677552,1.723330551393498
100,New Construction,Cold formed steel framing,2.4893575055565305,6.0989258886135
100,New Construction,Concrete - other,0.029271166159183674,0.009637104523342356
100,New Construction,Decking,11.163271916020406,28.80124154333265
100,New Construction,Doors and frames - other,0.15981414728432652,0.9325178329004833
100,New Construction,EPDM,0.00357294076122449,0.01239810444144898
100,New Construction,Extruded polystyrene XPS,2.431969297843265,158.06235461306093
100,New Construction,Extrusion,1.5893584528551021,13.835048945246266
100,New Construction,Fasteners,0.004369502553061224,0.022929325627109795
100,New Construction,Fiberglass blanket,0.16415396406187754,0.2825142222065339
100,New Construction,Flooring and tile - other,0.0018781133075918366,0.010404747724058775
100,New Construction,GFRC general,2.401657826122449,0.5908078252261225
100,New Construction,Glass mat gypsum board,0.9885361671791837,0.46757760707575385
100,New Construction,Glazing - other,0.6482497234693878,0.9987000598212246
100,New Construction,Gypsum board,48.44233628601143,11.068005484618464
100,New Construction,Hollow structural sections HSS,2.103662757793878,5.4274499151082045
100,New Construction,Hot-rolled sections,68.29585326101265,152.93772789102047
100,New Construction,Insulated glass unit IGU,7.067887819032041,8.131259849719918
100,New Construction,Medium density fiberboard MDF,0.2012472581632653,0.14167806974693878
100,New Construction,Mineral wool high density,9.350833938110613,11.890606737890927
100,New Construction,Mineral wool low density,0.001737965187755102,0.002624327433510204
100,New Construction,Modified bitumen,0.2084552100612245,0.17135018267032653
100,New Construction,Mortar and grout,0.011001367429795919,0.005901504527784082
100,New Construction,Open web joists,0.9972643079142858,1.3762247449217142
100,New Construction,Oriented strand board OSB,2.810687987865306,1.1017896912432
100,New Construction,Other,0.0021527200991836733,0.006113725081681633
100,New Construction,Paint,0.724667717057796,1.697434799377377
100,New Construction,Precast,39.16429386983674,6.215556725388828
100,New Construction,Ready mix LW 3000,5.543490575510204,1.4084653122547413
100,New Construction,Ready mix NW 3000,0.8892343000816327,0.13393881782172917
100,New Construction,Ready mix NW 4000,454.3185866237659,74.54817231963453
100,New Construction,Ready mix NW 5000,176.97252988783674,33.88892325932978
100,New Construction,Rebar and reinforcement,32.496467462458,30.354942848001773
100,New Construction,Roll formed metal panel aluminum,0.16538812302612246,1.068407274748751
100,New Construction,Spray applied cementitious,45.88887519416082,52.313317721343324
100,New Construction,Steel - other,5.440977331202449,13.323380247173764
100,New Construction,Steel door,0.7911750751624489,1.6535513628015999
100,New Construction,Steel door frame,7.355508244897959e-05,0.0002022764767346939
100,New Construction,Stucco finish,1.2239063760000002,0.6022412754641633
100,New Construction,Suspension assembly,0.8201443037772653,1.9929506581787546
100,New Construction,TPO,0.4242642857546938,1.3534030715574736
102,New Construction,Acoustic ceiling tile aluminum,0.5753649623250001,3.88027609660575
102,New Construction,Acoustic ceiling tile fiber,1.4792942339175,2.0118401581278
102,New Construction,Adhesives and sealants,0.16466477596950002,0.2038609547538675
102,New Construction,Air and vapor barriers,0.48836482310725,0.8679988169752699
102,New Construction,Aluminum door,0.00647719994875,0.026038343793975
102,New Construction,Aluminum sheet,0.061298428704749996,0.43644481237782
102,New Construction,CMU,47.017361123250005,5.265944445804
102,New Construction,Carpet,0.45668426900000003,2.570028651205
102,New Construction,Ceramic tile,4.87073767282125,1.3196989940879176
102,New Construction,Closed cell spray polyurethane foam,0.43899241625374996,1.3828261111993125
102,New Construction,Coatings - other,0.20228371047587498,2.1320414438910076
102,New Construction,Cold formed steel framing,3.012085803101125,7.379610217597756
102,New Construction,Concrete - other,1.254799028625,0.24865439250007895
102,New Construction,Decking,8.741551213187499,22.55320213002375
102,New Construction,Doors and frames - other,0.15334715235625002,0.81097959997024
102,New Construction,Extruded polystyrene XPS,1.15535085480125,75.09037086777708
102,New Construction,Extrusion,0.767934994143625,5.770378461006243
102,New Construction,Fasteners,0.0457791050725,0.192484458046545
102,New Construction,Fiberglass blanket,0.001555909614625,0.00280552034696375
102,New Construction,Flooring and tile - other,0.0157643323975,0.08733440148214999
102,New Construction,GFRC general,1.166274182475,0.28690344888885
102,New Construction,Glass mat gypsum board,13.4577553636875,6.365518287024187
102,New Construction,Glazing - other,0.0597056601375,0.10090256563237499
102,New Construction,Gypsum board,23.406538495875,5.293633479298612
102,New Construction,Hollow structural sections HSS,5.92335250408375,15.301608948858075
102,New Construction,Hot-rolled sections,41.58420835873125,97.15987048042562
102,New Construction,Insulated glass unit IGU,1.9405259375987503,2.507377936312121
102,New Construction,Mineral wool high density,8.5627159583025,10.874649267044175
102,New Construction,Modified bitumen,1.94682195067625,1.2282265360958775
102,New Construction,Mortar and grout,57.098323767465,10.038097666608213
102,New Construction,Open web joists,4.5699091612450005,6.3064746425181
102,New Construction,Paint,0.243167297881,0.5793938313887138
102,New Construction,Precast,59.59895008757125,9.641104317547265
102,New Construction,Ready mix NW 3000,12.7851598125,1.8099048725022362
102,New Construction,Ready mix NW 4000,563.2249384660125,88.79649630418145
102,New Construction,Ready mix NW 5000,233.62050945437502,44.19559894793076
102,New Construction,Rebar and reinforcement,59.00258276293512,55.108412300581406
102,New Construction,Roll formed metal panel aluminum,0.22549881263375005,1.456722329614025
102,New Construction,Roll formed metal panel steel,0.00957445343375,0.0223084765006375
102,New Construction,Roofing and waterproofing - other,0.14717607100000002,0.071086042293
102,New Construction,Softwood plywood,0.019581096125,0.005169409377
102,New Construction,Spray applied cementitious,35.63211625380375,40.62061252933628
102,New Construction,Steel - other,0.016081470085,0.0398352393394125
102,New Construction,Steel door,0.30444070727625,0.9595259971679375
102,New Construction,Steel sheet,0.45537495635,1.26485475325525
102,New Construction,Suspension assembly,0.6388796414858751,1.5524775288106762
102,New Construction,TPO,0.261085791975,0.8328636764002499
102,New Construction,Wood or composite door,0.36682999025375,0.13803761259394
105,New Construction,Acoustic ceiling tile fiber,3.71163125,0.33499375000000003
105,New Construction,Acoustic ceilings - other,2.6818874999999998,2.2792375
105,New Construction,Aluminum - other,0.38284375,0.975625
105,New Construction,Aluminum storefront or curtain wall,0.02609375,0.21673749999999997
105,New Construction,CMU,2.4622375,0.26615625000000004
105,New Construction,Carpet,0.071475,0.11779999999999999
105,New Construction,Cold formed steel framing,29.36310625,47.12520625
105,New Construction,Decking,65.81125,154.9966375
